country,country_code,year,both_accounts,only_financial_institution_account,only_mobile_money_account,financial_institution_share,mobile_money_share
Romania,ROU,2017,2.8774393,54.761635,0.112730265,57.6390743,2.990169565
Russia,RUS,2021,31.927082,56.78099,1.0112524,88.708072,32.9383344
Rwanda,RWA,2014,14.125659,24.019228,3.9720268,38.144887,18.0976858
Rwanda,RWA,2017,17.752218,18.905153,13.362423,36.657371,31.114641
Senegal,SEN,2014,2.6856,9.236211,3.502761,11.921811000000002,6.1883610000000004
Senegal,SEN,2017,9.810793,10.545924,21.987299,20.356717,31.798092
Senegal,SEN,2021,17.060295,11.074532,27.829578,28.134827,44.889873
Sierra Leone,SLE,2014,3.0212255,11.127623,1.4311626,14.1488485,4.4523881
Sierra Leone,SLE,2017,3.5968213,8.790147,7.4217925,12.3869683,11.0186138
Sierra Leone,SLE,2021,3.9713993,9.806389,15.068815,13.7777883,19.040214300000002
Singapore,SGP,2014,6.14946,90.20314,0.0,96.35260000000001,6.14946
Singapore,SGP,2017,9.429126,88.38316,0.118881464,97.812286,9.548007464
Singapore,SGP,2021,30.24391,66.94558,0.36035776,97.18949,30.60426776
Somalia,SOM,2014,6.261302,1.5944153,30.804613,7.8557173,37.065915
South Africa,ZAF,2014,12.877959,55.889275,1.5502214,68.767234,14.4281804
South Africa,ZAF,2017,17.235275,50.20165,1.7815709,67.436925,19.0168459
South Africa,ZAF,2021,35.299393,48.812805,1.2659132,84.112198,36.5653062
South Asia (WB),,2014,1.7388036,43.846508,0.90690255,45.5853116,2.64570615
South Asia (WB),,2017,3.013724,65.25929,1.1874557,68.27301399999999,4.2011797
South Asia (WB),,2021,9.513293,56.321056,2.0551682,65.834349,11.568461200000002
South Sudan,SSD,2021,0.5014436,4.98155,0.34841335,5.4829936,0.8498569499999999
Sri Lanka,LKA,2014,0.07663684,82.614746,0.0,82.69138284,0.07663684
Sri Lanka,LKA,2017,2.3658226,71.2257,0.0549376,73.5915226,2.4207602
Sri Lanka,LKA,2021,2.781329,86.14429,0.345093,88.925619,3.126422
Sub-Saharan Africa (WB),,2014,6.207203,22.707207,5.3599687,28.91441,11.5671717
Sub-Saharan Africa (WB),,2017,11.048873,21.857338,9.724063,32.906211,20.772936
Sub-Saharan Africa (WB),,2021,17.818073,21.879295,15.372354,39.697368,33.190427
Tajikistan,TJK,2014,0.0,11.459233,0.0,11.459233,0.0
Tajikistan,TJK,2021,1.504754,37.398407,0.5849987,38.903161,2.0897527
Tanzania,TZA,2014,11.620453,7.4207783,20.738243,19.0412313,32.358696
Tanzania,TZA,2017,12.7586975,8.213535,25.779333,20.9722325,38.538030500000005
Tanzania,TZA,2021,15.467169,7.8538475,29.11232,23.3210165,44.579489
Thailand,THA,2014,1.3012658,76.83529,0.0,78.1365558,1.3012658
Thailand,THA,2017,7.6203594,73.33714,0.6365001,80.9574994,8.2568595
Thailand,THA,2021,58.569103,35.577106,1.4307857,94.146209,59.9998887
Togo,TGO,2014,0.7734999,16.841423,0.63653886,17.6149229,1.41003876
Togo,TGO,2017,10.235964,23.831978,11.221412,34.067942,21.457376
Togo,TGO,2021,11.775322,13.124826,24.705486,24.900148,36.480807999999996
Tunisia,TUN,2014,0.4496177,26.81361,0.16908348,27.2632277,0.61870118
Tunisia,TUN,2017,1.9470615,34.869377,0.09012818,36.8164385,2.03718968
Tunisia,TUN,2021,2.570837,33.141026,1.1413723,35.711862999999994,3.7122093
Turkey,TUR,2014,0.6432797,55.869286,0.16492009,56.5125657,0.80819979
Turkey,TUR,2017,15.481673,52.178356,0.9302795,67.66002900000001,16.4119525
Turkey,TUR,2021,17.558867,55.80746,0.7253349,73.366327,18.2842019
Uganda,UGA,2014,18.43665,9.346774,16.66373,27.783424,35.10038
Uganda,UGA,2017,24.226147,8.617908,26.355093,32.844055,50.58124
Uganda,UGA,2021,24.443018,12.117773,29.35322,36.560790999999995,53.796238
United Arab Emirates,ARE,2014,10.951977,72.25234,0.53901076,83.204317,11.49098776
United Arab Emirates,ARE,2017,20.512257,66.87859,0.81954,87.39084700000001,21.331797
United Arab Emirates,ARE,2021,12.076424,72.48431,1.1814654,84.560734,13.2578894
Upper-middle-income countries,,2014,0.59740895,70.25925,0.072199106,70.85665895,0.6696080560000001
Upper-middle-income countries,,2017,2.0328574,70.02783,0.2934277,72.06068739999999,2.3262851
Upper-middle-income countries,,2021,9.335066,74.416626,0.5747855,83.75169199999999,9.909851499999998
Uruguay,URY,2014,1.0031149,44.352295,0.23031831,45.3554099,1.2334332099999998
Venezuela,VEN,2014,2.81009,54.047256,0.16897917,56.857346,2.9790691700000003
Venezuela,VEN,2017,10.696529,62.524124,0.27385354,73.220653,10.97038254
Venezuela,VEN,2021,29.949781,54.083893,0.36112666,84.033674,30.31090766
Vietnam,VNM,2014,0.40991628,30.45444,0.08659065,30.864356280000003,0.49650693
Vietnam,VNM,2017,2.727251,27.296291,0.7722497,30.023542,3.4995007
Vietnam,VNM,2022,16.264687,39.799805,0.20126104,56.064492,16.465948039999997
World,OWID_WRL,2014,1.2561541,59.85917,0.8084059,61.1153241,2.06456
World,OWID_WRL,2017,2.9518173,64.15148,1.3949811,67.10329730000001,4.3467984
World,OWID_WRL,2021,8.021226,65.95226,2.2221327,73.973486,10.2433587
Zambia,ZMB,2014,7.761854,23.530563,4.352453,31.292417,12.114307
Zambia,ZMB,2017,17.809168,18.020868,10.033223,35.830036,27.842391
Zambia,ZMB,2021,16.953857,6.890604,24.677427,23.844461,41.631284
Zimbabwe,ZWE,2014,6.3957634,10.793729,15.199759,17.1894924,21.5955224
Zimbabwe,ZWE,2017,21.476477,6.703505,27.105156,28.179982,48.581633
Zimbabwe,ZWE,2021,20.13621,9.113484,30.496237,29.249693999999998,50.632447
