trend_factor,digital_inclusion_index,account_ratio,mobile_growth_pct,financial_growth_pct,mobile_money_share,financial_institution_share,year_x,actual,prediction,year_y,country
0.0,0.4138400984,0.0009267814537372658,0.0,0.0,0.07663684,82.69138284,2014,0.0,-0.08971526496797078,2014,Sri Lanka
0.0,0.15916908989999998,0.09236513135822089,0.0,0.0,2.69171424,29.14210374,2014,1.8487155,1.4734356177254562,2014,Bangladesh
0.375,0.30481661000000004,0.8295502480682131,0.0,0.0,27.641842,33.32148,2017,12.242338,12.245673195606757,2017,Lesotho
0.375,0.115217184,0.2108331333532201,-0.3808437132805994,-0.06917571561266422,4.012377799999999,19.031059,2017,1.8414468,1.6264545074887362,2017,Mauritania
0.375,0.212757964,1.3439311152639155,1.0955761003832998,0.3697568824857882,24.3976494,18.1539434,2017,17.262735,17.511459359635893,2017,Mali
0.375,0.38006141400000004,0.032894552449442054,30.587421923972858,-0.11004605229068865,2.4207602,73.5915226,2017,0.0549376,-0.19491810260823045,2017,Sri Lanka
0.0,0.08252728250000001,0.22950371384399054,0.0,0.0,3.0809696,13.424486900000002,2014,0.9331107,1.282676202525714,2014,Burkina Faso
0.0,0.224807525,0.035894534776190895,0.0,0.0,1.5579504000000002,43.4035546,2014,0.2585858,0.46976981066298845,2014,Panama
0.375,0.53680146732,0.09761562534178989,0.5526578697966975,0.015149419943000897,9.548007464,97.812286,2017,0.118881464,0.44714565739428314,2017,Singapore
0.875,0.4045959375,0.19060145634443484,0.8195691498547732,0.32724632652344443,12.9542215,67.964966,2021,0.9204805,1.2683445849446637,2021,Bolivia
0.0,0.167261796,0.11345825018919217,0.0,0.0,3.4087009,30.0436583,2014,1.4427006,1.0327352322159058,2014,Honduras
